"FullName","Length","Extension","LastWriteTime"
"C:\SOLPI\ARQUIVOS.txt","1478318",".txt","03/07/2026 02:25:54"
"C:\SOLPI\docker-compose.yml","1085",".yml","23/04/2026 12:00:26"
"C:\SOLPI\ESTRUTURA.txt","655044",".txt","03/07/2026 02:26:15"
"C:\SOLPI\ESTRUTURA_COMPLETA.txt","2683000",".txt","03/07/2026 10:28:06"
"C:\SOLPI\estrutura_solpi.txt","12990",".txt","27/06/2026 23:29:02"
"C:\SOLPI\INVENTARIO_COMPLETO.csv","0",".csv","03/07/2026 10:28:06"
"C:\SOLPI\glpi\docker-compose.yml","3114",".yml","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\.gitignore","233",".gitignore","26/06/2026 10:52:00"
"C:\SOLPI\glpi\plugins\composer.json","526",".json","26/06/2026 12:23:35"
"C:\SOLPI\glpi\plugins\hook.php","0",".php","29/06/2026 15:30:39"
"C:\SOLPI\glpi\plugins\LICENSE","383","","26/06/2026 12:16:23"
"C:\SOLPI\glpi\plugins\README.md","598",".md","26/06/2026 10:52:45"
"C:\SOLPI\glpi\plugins\solpi.zip","92070",".zip","28/06/2026 04:43:24"
"C:\SOLPI\glpi\plugins\solpi\audit_top_50_issues.csv","10151",".csv","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\composer.json","1022",".json","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\composer.lock","13058",".lock","01/07/2026 10:18:33"
"C:\SOLPI\glpi\plugins\solpi\EMPTY_FILES.csv","553",".csv","29/06/2026 19:58:41"
"C:\SOLPI\glpi\plugins\solpi\estrutura_solpi.txt","6728",".txt","28/06/2026 01:31:15"
"C:\SOLPI\glpi\plugins\solpi\fill-empty-php.ps1","6081",".ps1","29/06/2026 02:21:22"
"C:\SOLPI\glpi\plugins\solpi\hook.php","4948",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\import_public.php","7791",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\LICENSE","0","","27/06/2026 15:53:56"
"C:\SOLPI\glpi\plugins\solpi\migration.log","533",".log","28/06/2026 01:27:46"
"C:\SOLPI\glpi\plugins\solpi\phpcpd.xml","52",".xml","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\phpstan-report-utf8.txt","205047",".txt","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\phpstan-report.txt","507386",".txt","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\PROJECT_CLASSES.csv","46018",".csv","29/06/2026 19:58:24"
"C:\SOLPI\glpi\plugins\solpi\PROJECT_DEPENDENCIES.csv","13545",".csv","29/06/2026 19:59:17"
"C:\SOLPI\glpi\plugins\solpi\PROJECT_FILES.csv","18",".csv","29/06/2026 19:46:50"
"C:\SOLPI\glpi\plugins\solpi\PROJECT_TREE.txt","19810",".txt","29/06/2026 19:45:59"
"C:\SOLPI\glpi\plugins\solpi\README.md","875",".md","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\setup.php","1239",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\test_public.php","456",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\webhook.php","2713",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\ajax\dashboard.php","337",".php","27/06/2026 19:39:23"
"C:\SOLPI\glpi\plugins\solpi\ajax\receive_alert.php","98",".php","23/06/2026 13:29:59"
"C:\SOLPI\glpi\plugins\solpi\ajax\upload.php","47",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\ajax\webhook.php","1965",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\api\index.php","45",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\api\middleware.php","50",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\api\routes.php","46",".php","29/06/2026 12:38:25"
