"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\hook.php",,,,,,"9","0,12"
"C:\zabbix\glpi\plugins\solpi\setup.php",,,,,,"41","0,89"
"C:\zabbix\glpi\plugins\solpi\ajax\dashboard.php",,,,,,"20","0,33"
"C:\zabbix\glpi\plugins\solpi\ajax\receive_alert.php",,,,,,"7","0,1"
"C:\zabbix\glpi\plugins\solpi\ajax\upload.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\ajax\webhook.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\api\index.php",,,,,,"4","0,04"
"C:\zabbix\glpi\plugins\solpi\api\middleware.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\api\routes.php",,,,,,"4","0,04"
"C:\zabbix\glpi\plugins\solpi\config\config.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\constants.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\evolution.php",,,,,,"13","0,27"
"C:\zabbix\glpi\plugins\solpi\config\permissions.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\routes.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\ai\memory.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\ai\prompts.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\ai\providers.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\ai\rag.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\config\ai\sync.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\front\ai.php",,,,,,"4","0,04"
"C:\zabbix\glpi\plugins\solpi\front\alerts.php",,,,,,"20","0,47"
"C:\zabbix\glpi\plugins\solpi\front\config.php",,,,,,"23","0,72"
"C:\zabbix\glpi\plugins\solpi\front\dashboard.php",,,,,,"14","0,21"
"C:\zabbix\glpi\plugins\solpi\front\dashboard_data.php",,,,,,"17","0,37"
"C:\zabbix\glpi\plugins\solpi\front\evolution.php",,,,,,"83","1,97"
"C:\zabbix\glpi\plugins\solpi\front\evolution.updated.php",,,,,,"67","2,31"
"C:\zabbix\glpi\plugins\solpi\front\glpi_tickets.php",,,,,,"163","3,59"
"C:\zabbix\glpi\plugins\solpi\front\index.php",,,,,,"27","1,06"
"C:\zabbix\glpi\plugins\solpi\front\knowledge.php",,,,,,"24","0,6"
"C:\zabbix\glpi\plugins\solpi\front\menu.php",,,,,,"76","2,06"
"C:\zabbix\glpi\plugins\solpi\front\settings.php",,,,,,"13","0,24"
"C:\zabbix\glpi\plugins\solpi\front\tickets.php",,,,,,"61","1,58"
"C:\zabbix\glpi\plugins\solpi\front\whatsapp.php",,,,,,"20","0,5"
"C:\zabbix\glpi\plugins\solpi\front\zabbix.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\inc\bootstrap.php",,,,,,"27","0,62"
"C:\zabbix\glpi\plugins\solpi\inc\includes.php",,,,,,"13","0,27"
"C:\zabbix\glpi\plugins\solpi\inc\install.php",,,,,,"27","0,39"
"C:\zabbix\glpi\plugins\solpi\inc\menu.php",,,,,,"29","0,57"
"C:\zabbix\glpi\plugins\solpi\inc\permissions.php",,,,,,"15","0,25"
"C:\zabbix\glpi\plugins\solpi\inc\uninstall.php",,,,,,"15","0,21"
"C:\zabbix\glpi\plugins\solpi\install\install.php",,,,,,"29","0,39"
"C:\zabbix\glpi\plugins\solpi\install\uninstall.php",,,,,,"24","0,32"
"C:\zabbix\glpi\plugins\solpi\locales\en_GB.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\locales\pt_BR.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\src\AI\AIKernel.php","namespace SOLPI\AI;","final class AIKernel",,,,"60","1,05"
"C:\zabbix\glpi\plugins\solpi\src\AI\AIRepository.php","namespace SOLPI\AI;","final class AIRepository",,,,"85","1,52"
"C:\zabbix\glpi\plugins\solpi\src\AI\AIService.php","namespace SOLPI\AI;","final class AIService",,,,"63","1,03"
"C:\zabbix\glpi\plugins\solpi\src\AI\Conversation.php","namespace SOLPI\AI;","final class Conversation",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\AI\ModelSelector.php","namespace SOLPI\AI;","final class ModelSelector",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\AI\PromptBuilder.php","namespace SOLPI\AI;","final class PromptBuilder",,,,"43","0,66"
"C:\zabbix\glpi\plugins\solpi\src\AI\Memory\ConversationMemory.php","namespace SOLPI\AI\Memory;","final class ConversationMemory",,,,"45","0,51"
"C:\zabbix\glpi\plugins\solpi\src\AI\Memory\VectorMemory.php","namespace SOLPI\AI\Memory;","final class VectorMemory",,,,"36","0,51"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\AbstractAIProvider.php","namespace SOLPI\AI\Providers;","abstract class AbstractAIProvider implements AIProviderInterface",,,,"49","0,7"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\AIProviderInterface.php","namespace SOLPI\AI\Providers;",,"interface AIProviderInterface",,,"21","0,33"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\AzureProvider.php","namespace SOLPI\AI\Providers;","final class AzureProvider",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\ClaudeProvider.php","namespace SOLPI\AI\Providers;","final class ClaudeProvider",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\GeminiProvider.php","namespace SOLPI\AI\Providers;","final class GeminiProvider",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\OllamaProvider.php","namespace SOLPI\AI\Providers;","final class OllamaProvider extends AbstractAIProvider",,,,"30","0,4"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\OpenAIProvider.php","namespace SOLPI\AI\Providers;","final class OpenAIProvider extends AbstractAIProvider",,,,"30","0,4"
"C:\zabbix\glpi\plugins\solpi\src\AI\Providers\ProviderFactory.php","namespace SOLPI\AI\Providers;","final class ProviderFactory",,,,"36","0,59"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ConversationContext.php","namespace SOLPI\AI\Services;","final class ConversationContext",,,,"50","0,68"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ConversationService.php","namespace SOLPI\AI\Services;","final class ConversationService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\EmbeddingService.php","namespace SOLPI\AI\Services;","final class EmbeddingService",,,,"39","0,59"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\EntityResolver.php","namespace SOLPI\AI\Services;","final class EntityResolver",,,,"60","0,74"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\IntentDetector.php","namespace SOLPI\AI\Services;","final class IntentDetector",,,,"36","0,67"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\RAGService.php","namespace SOLPI\AI\Services;","final class RAGService",,,,"69","1,12"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ResponseFormatter.php","namespace SOLPI\AI\Services;","final class ResponseFormatter",,,,"27","0,36"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\RetrieverService.php","namespace SOLPI\AI\Services;","final class RetrieverService",,,,"62","0,88"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\SimilarityService.php","namespace SOLPI\AI\Services;","final class SimilarityService",,,,"53","0,72"
